Location,Arabic,German
,جملة فعلية,
,جملة اسمية,
,اِسْتَطَاعَ,können
,أَرَادَ,wollen
,كَادَ,
,شَرِبَ,trinken
,ضَرَبَ,schlagen
,ذَهَبَ,gehen
,جَلَسَ,sich hinsetzen
,شَبِعَ,sich satt fühlen
,أَكَلَ,essen
,خَرَجَ,ausgehen
,مَشَى,laufen
,قَامَ,aufstehen
,نَجَحَ,Erfolg haben
,بَكَى,weinen
,سَمِعَ,hören
,جَاءَ,kommen
,عَرَفَ,kennen
,رَسَبَ,bei einer Prüfung durchfallen
,تَعَلَّمَ,lernen
,لَعِبَ,spielen
,جَعَلَ,machen
,شَكَرَ,danken
,جَهَّزَ,vorbereiten
,وَعَدَ,versprechen
,عَاشَ,leben
,وَقَفَ,aufstehen
,سَجَدَ,sich niederzuwerfen
,مَاتَ,sterben
,قَبَضَ,auffangen
,غَفَرَ,verzeihen
,صَامَ,fasten
,رَسَمَ,ziehen
,نَزَلَ,hinuntergehen
,رَكَعَ,knien
,سَافَرَ,reisen
,وَفَى,
,لَبِسَ,
,اجْتَهَدَ,
,وَجَدَ,finden
,وَصَلَ,ankommen
,قَرَأَ,lesen
,قَعَدَ,sitzen
,قَالَ,sagen
,خَبَّرَ,erzählen
,عَلِمَ,wissen
,سَأَلَ,fragen
,رَمَى,werfen
,شَاهَدَ,beobachten
,أَخَذَ,nehmen
,طَلَعَ,hochgehen
,حَفِظَ,
,أَخْبَرَ,
,نَامَ,schlafen
,سَاعَدَ,unterstützen
,كَتَبَ,schreiben
,حَدَّثَ,sprechen
,جَرَى,laufen
,اشْتَرَى,kaufen
,أَسْرَعَ,beschleunigen
,ذَاكَرَ,überarbeiten
,وَضَعَ,setzen
,بَاعَ,verkaufen
,فَهِمَ,verstehen
,فَتَحَ,öffnen
,عَطِشَ,durstig sein
,سَكَنَ,bewohnen
,أَعْلَمَ,informieren
,كَسَرَ,aufbrechen
,دَخَلَ,betreten
,الماضي المعلوم,Vergangenheit
,المضارع المعلوم,Gegenwart/Zukunft
,الأمر,Imperativ
,معلوم,Aktiv
,مبني للمجهول,Passiv
,مثبت,
,منفي,
,حَلِيبٌ,Milch
,بَابٌ,Tür
,أنا,ich
,نحن,Wir
,أنت,Du (maskuliner Singular)
,أنتِ,Ihr (femininer Singular)
,أنتما,Ihr (Dual Maskulinum)
,أنتما مؤ,Ihr (Dual Femininum)
,أنتم,Ihr (Plural Maskulinum)
,أنتن,Sie (Plural weiblich)
,هو,Er
,هي,Sie
,هما,Sie (Dual Maskulinum)
,هما مؤ,Sie (Dual Femininum)
,هم,Sie (männlich)
,هن,Sie (feminin)
,تُفَاحَةٌ,Apfel
,تِلْمِيذٌ,Schüler
,ثَوْبٌ,Kleid
,جَبَلٌ,Berg
,حَقِيبَةٌ,Gepäck
,خُضَرٌ,Gemüse
,دَرْسٌ,Lektion
,رَجُلٌ,Mann
,شَعْرٌ,Haare
,صَحْرَاءٌ,Wüste
,صَوْتٌ,Klang
,طَعَامٌ,Essen
,طَلَبَةٌ,Studenten
,عَصِيرٌ,Saft
,عَلَمٌ,Fahne
,فَوَاكِهٌ,Früchte
,قَمَرٌ,Mond
,قُرْآنٌ,Koran
,قِصَّةٌ,Geschichte
,قِطَّةٌ,Katze
,كَأْسٌ,Tasse
,كُرَةٌ,Ball
,كِتَابٌ,Buch
,مَرأَةٌ,Frau
,مدْرَسةٌ,Schule
,مسْرَحِيَّةٌ,ein Stück
,مُعَلِمٌ,Lehrerin
,مِحْفَظَةٌ,Brieftasche
,نَاسٌ,Menschen
,أَحْيَانًا,manchmal
,البَارِحَةَ,gestern
,اليَوْمَ,heute
,سَاعَةً,Stunde
,سَنَةً,Jahr
,شِتَاءً,Winter
,صَبَاحًا,Morgen
,صَيْفًا,Sommer
,ظُهْرًا,
,عَصْرًا,
,غَدًا,morgen
,فَجْرًا,Sonnenaufgang
,لَحْظَةَ,Augenblick
,لَيْلًا,Nacht
,مَسَاءً,Abend
,نَهْارًا,am Tag
,بَيْتٌ,Haus
,حَدِيقَةٌ,Garten
,سُوقٌ,Markt
,طَرِيقٌ,Straße
,غُرْفَةٌ,Zimmer
,فِنَاءٌ,Innenhof
,مَدِينَةٌ,Stadt
,مَدْرَسَةٌ,Schule
,مَسْجِدٌ,Moschee
,مَطْبَخٌ,Küche
,أَنِيقٌ,elegant
,بَخِيلٌ,geizig
,بَشِعٌ,hässlich
,بَطِيءٌ,langsam
,جَمِيلٌ,Schön
,حَزِينٌ,traurig
,حَنُونٌ,mitfühlend
,ذَكِيٌ,klug
,سَرِيعٌ,schnell
,سَعِيدٌ,glücklich
,سَمِينٌ,fett
,شُجَاعٌ,mutig
,ضَعِيفٌ,schwach
,طَوِيلٌ,lang
,غَبِيٌ,dumm
,فَرِحٌ,freudig
,قَصِيرٌ,kurz
,قَوِيٌ,stark
,كَرِيمٌ,großzügig
,كَسُولٌ,faul
,لَئِيمٌ,schurkisch
,مَسْرُورٌ,erfreut
,مُبْتَهِجٌ,heiter
,مُجْتَهِدٌ,fleißig
,مُرْتَفِعٌ,hoch
,مُنْخَفِضٌ,niedrig
,هَزِيلٌ,mager
,وَسِيمٌ,Gut aussehend
,أَحْمَد,Ahmed
,وَلَدٌ,Junge
,أَبٌ,Vater
,أَحْمَدُ,Ahmed
,أَسَدٌ,Löwe
,أُمٌّ,Mutter
,اِبْنٌ,Sohn
,بِنْتٌ,Mädchen
,تَاجِرٌ,Kaufmann
,حِصَانٌ,Pferd
,دِيكٌ,Hahn
,رَضِيعٌ,Baby
,زُهُورٌ,Blumen
,شُرْطِيٌّ,Polizist
,طَالِبٌ,Student
,طَبِيبٌ,Arzt
,طِفْلٌ,Kind
,عَامِلٌ,Arbeiter
,عُمَّالٌ,Arbeiter
,فَاطِمَةُ,Fatima
,فَرَاشَةٌ,Schmetterling
,قَاضٌِ,Richter
,قِطٌّ,Katze
,لَيْلَى,Layla
,معَلِّمٌ,Lehrerin
,مَرْأَةٌ,Frau
,مَطَرٌ,Regen
,مُحَمَدُ,Mohammed
,مُسْلِمٌ,Muslim
,مُهَنْدِسٌ,Ingenieur
,فعل:,Verb:
,زمن:,Zeitform:
,مبني للمعلوم/مجهول:,Stimme:
,مثبت/منفي:,
,مفعول,Objekt:
,ظرف زمان:,Zeit:
,ظرف مكان:,Ort:
,بناء,erstellen
,عشوائي,Random
,عينة,Beispiel
,حركة الإعراب,Flexionszeichen
,إظهار حركة الإعراب في أواخر الكلمات,Flexionszeichen am Wortende anzeigen
,اختيار عشوائي للمفردات,Wörter zufällig auswählen
,نسخ عينة جيسون للتجارب البرمجية,Kopieren eines Json-Beispiels zur Durchführung von Tests
,بناء الجملة,Eine Phrase erstellen
,مدونتي,Mein Blog
,الاستضافة بدعم من شركة,Unterstützt von
,فاعل,Betreff
,فعل مساعد,Hilfsverb
,نوع الجملة,Art der Phrase
