Location,Arabic,spanish
,جملة فعلية,sintagma verbal
,جملة اسمية,sintagma nominal
,اِسْتَطَاعَ,poder
,أَرَادَ,querer
,كَادَ,casi
,شَرِبَ,beber
,ضَرَبَ,pegar
,ذَهَبَ,ir
,جَلَسَ,sentar(se)
,شَبِعَ,
,أَكَلَ,comer
,خَرَجَ,salir
,مَشَى,caminar
,قَامَ,levantar(se)
,نَجَحَ,lograr
,بَكَى,llorar
,سَمِعَ,oír
,جَاءَ,venir
,عَرَفَ,saber
,رَسَبَ,fallar
,تَعَلَّمَ,aprender
,لَعِبَ,jugar
,جَعَلَ,hacer
,شَكَرَ,Agradecer
,جَهَّزَ,preparar
,وَعَدَ,prometer
,عَاشَ,Vivir
,وَقَفَ,levantar(se)
,سَجَدَ,prostrar
,مَاتَ,morir
,قَبَضَ,atrapar
,غَفَرَ,perdonar
,صَامَ,ayunar
,رَسَمَ,dibujar
,نَزَلَ,descender
,رَكَعَ,arrodillar(se)
,سَافَرَ,Viajar
,وَفَى,ser leal
,لَبِسَ,vestir(se)
,اجْتَهَدَ,trabajar (duro)
,وَجَدَ,encontrar
,وَصَلَ,llegar
,قَرَأَ,leer
,قَعَدَ,Sentar(se)
,قَالَ,decir
,خَبَّرَ,noticias
,عَلِمَ,Saber
,سَأَلَ,preguntar
,رَمَى,Tirar
,شَاهَدَ,mirar
,أَخَذَ,tomar
,طَلَعَ,subir
,حَفِظَ,guardar
,أَخْبَرَ,informar
,نَامَ,dormir
,سَاعَدَ,ayudar
,كَتَبَ,escribir
,حَدَّثَ,decir
,جَرَى,ocurrir
,اشْتَرَى,comprar
,أَسْرَعَ,acelerar
,ذَاكَرَ,revisar
,وَضَعَ,poner
,بَاعَ,vender
,فَهِمَ,comprender
,فَتَحَ,abrir
,عَطِشَ,tener sed
,سَكَنَ,residir
,أَعْلَمَ,notificar
,كَسَرَ,romper
,دَخَلَ,entrar
,الماضي المعلوم,El pasado
,المضارع المعلوم,El presente
,الأمر,El imperativo
,معلوم,voz activa
,مبني للمجهول,voz pasiva
,مثبت,afirmativo
,منفي,negativo
,حَلِيبٌ,leche
,بَابٌ,puerta
,أنا,yo
,نحن,nosotros
,أنت,Tú
,أنتِ,Tú (f)
,أنتما,vosotros (dos)
,أنتما مؤ,vosotras (dos)
,أنتم,vosotros
,أنتن,vosotras
,هو,El
,هي,ella
,هما,Ellos (dos)
,هما مؤ,Ellas (dos)
,هم,Ellos
,هن,Ellas
,تُفَاحَةٌ,manzana
,تِلْمِيذٌ,Alumno
,ثَوْبٌ,vestido
,جَبَلٌ,montaña
,حَقِيبَةٌ,maleta
,خُضَرٌ,verduras
,دَرْسٌ,Lección
,رَجُلٌ,hombre
,شَعْرٌ,pelo
,صَحْرَاءٌ,desierto
,صَوْتٌ,voz
,طَعَامٌ,alimento
,طَلَبَةٌ,Alumnos
,عَصِيرٌ,jugo
,عَلَمٌ,bandera
,فَوَاكِهٌ,frutas
,قَمَرٌ,luna
,قُرْآنٌ,Coran
,قِصَّةٌ,historia
,قِطَّةٌ,gato
,كَأْسٌ,tazón
,كُرَةٌ,pelota
,كِتَابٌ,libro
,لمْرأَةٌ,Una mujer
,مدْرَسةٌ,escuela
,مسْرَحِيَّةٌ,Juego teatral
,مُعَلِمٌ,Maestro
,مِحْفَظَةٌ,billetera
,نَاسٌ,gente
,أَحْيَانًا,a veces
,البَارِحَةَ,ayer
,اليَوْمَ,hoy
,سَاعَةً,hora
,سَنَةً,año
,شِتَاءً,invierno
,صَبَاحًا,al inicio del día
,صَيْفًا,verano
,ظُهْرًا,mediodía
,عَصْرًا,tarde
,غَدًا,el día después de hoy
,فَجْرًا,amanecer
,لَحْظَةَ,Momento
,لَيْلًا,noche
,مَسَاءً,tarde
,نَهْارًا,lo opuesto de la noche
,بَيْتٌ,casa
,حَدِيقَةٌ,jardín
,سُوقٌ,mercado
,طَرِيقٌ,camino
,غُرْفَةٌ,habitación
,فِنَاءٌ,Patio
,مَدِينَةٌ,ciudad
,مَدْرَسَةٌ,escuela
,مَسْجِدٌ,Mezquita
,مَطْبَخٌ,cocina
,أَنِيقٌ,elegante
,بَخِيلٌ,tacaño
,بَشِعٌ,feo
,بَطِيءٌ,lento
,جَمِيلٌ,hermoso
,حَزِينٌ,triste
,حَنُونٌ,cariñoso 
,ذَكِيٌ,inteligente
,سَرِيعٌ,rápido
,سَعِيدٌ,feliz
,سَمِينٌ,gordo
,شُجَاعٌ,valiente
,ضَعِيفٌ,débil
,طَوِيلٌ,alto
,غَبِيٌ,estúpido
,فَرِحٌ,alegría
,قَصِيرٌ,corto
,قَوِيٌ,fuerte
,كَرِيمٌ,generoso
,كَسُولٌ,perezoso
,لَئِيمٌ,tacaño
,مَسْرُورٌ,complacido
,مُبْتَهِجٌ,alegre
,مُجْتَهِدٌ,trabajador
,مُرْتَفِعٌ,elevado
,مُنْخَفِضٌ,bajo
,هَزِيلٌ,flaco
,وَسِيمٌ,Elegante
,أَحْمَد,Ahmed
,وَلَدٌ,Chico
,أَبٌ,padre
,أَحْمَدُ,Ahmed
,أَسَدٌ,León
,أُمٌّ,madre
,اِبْنٌ,hijo
,بِنْتٌ,hija
,تَاجِرٌ,comerciante
,حِصَانٌ,caballo
,دِيكٌ,gallo
,رَضِيعٌ,bebé
,زُهُورٌ,flores
,شُرْطِيٌّ,policía (hombre)
,طَالِبٌ,estudiante
,طَبِيبٌ,médico
,طِفْلٌ,niño
,عَامِلٌ,trabajador
,عُمَّالٌ,Trabajadores
,فَاطِمَةُ,Fatima
,فَرَاشَةٌ,mariposa
,قَاضٌِ,juez
,قِطٌّ,gato
,لَيْلَى,Layla
,معَلِّمٌ,Maestro
,مَرْأَةٌ,mujer
,مَطَرٌ,lluvia
,مُحَمَدُ,Mohamed
,مُسْلِمٌ,musulmán
,مُهَنْدِسٌ,Ingeniero
,فعل:,verbo
,زمن:,tiempo:
,مبني للمعلوم/مجهول:,en la voz (activa/pasiva)
,مثبت/منفي:,afirmativo/negativo
,مفعول,objeto
,ظرف زمان:,adverbio de tiempo:
,ظرف مكان:,adverbio de lugar:
,بناء,edificio
,عشوائي,aleatorio
,عينة,una muestra
,حركة الإعراب,el signo diacrítico
,إظهار حركة الإعراب في أواخر الكلمات,mostrar los signos diacríticos al final de la palabra
,اختيار عشوائي للمفردات,seleccionar al azar (plabras)
,نسخ عينة جيسون للتجارب البرمجية,Copiar json muestra para la experimentación.
,بناء الجملة,construir una frase
,مدونتي,mi blog
,الاستضافة بدعم من شركة,patrocinada por
,فاعل,
,فعل مساعد,
,نوع الجملة,

